disksectors	60
diskrpm		5400
timequantum	10000
296000	0	admit
6000	0	read	18
16000	0	read	9
28000	0	read	29
69000	0	read	17
96000	0	read	51
109000	0	write	55
146000	0	read	51
179000	0	read	26
192000	0	read	38
214000	0	write	9
1460000	0	exit
4098000	1	admit
15000	1	read	50
56000	1	read	41
70000	1	read	13
91000	1	write	53
117000	1	write	37
127000	1	read	38
138000	1	read	23
139000	1	read	28
141000	1	write	47
157000	1	write	4
160000	1	write	23
162000	1	write	5
164000	1	write	5
211000	1	read	9
271000	1	write	47
334000	1	read	7
335000	1	write	34
349000	1	write	41
445000	1	read	43
453000	1	read	8
483000	1	write	14
485000	1	read	3
525000	1	write	10
554000	1	write	40
574000	1	read	46
575000	1	write	51
579000	1	read	18
1453000	1	exit
6259000	2	admit
37000	2	write	53
53000	2	read	28
89000	2	read	38
161000	2	write	29
164000	2	write	7
167000	2	write	26
189000	2	write	54
190000	2	write	20
194000	2	write	52
207000	2	read	46
231000	2	write	34
235000	2	read	6
272000	2	read	56
275000	2	read	18
278000	2	read	6
288000	2	read	30
387000	2	read	25
394000	2	read	58
443000	2	write	31
445000	2	write	22
461000	2	read	2
467000	2	write	49
470000	2	read	55
474000	2	write	28
480000	2	read	13
506000	2	read	55
510000	2	read	1
563000	2	read	23
7570000	3	admit
46000	3	write	4
150000	3	read	9
173000	3	read	30
188000	3	write	51
214000	3	write	7
221000	3	read	40
241000	3	read	48
261000	3	read	2
266000	3	read	0
270000	3	read	36
307000	3	read	0
1698000	2	exit
8698000	4	admit
28000	4	write	55
45000	4	read	16
60000	4	read	55
69000	4	write	23
88000	4	write	53
104000	4	read	52
124000	4	read	48
167000	4	read	3
194000	4	write	48
228000	4	read	22
242000	4	write	47
266000	4	read	34
278000	4	write	7
285000	4	read	47
302000	4	read	24
327000	4	read	46
336000	4	write	57
348000	4	write	42
384000	4	read	43
413000	4	read	10
446000	4	read	24
449000	4	write	59
9162000	5	admit
33000	5	write	53
57000	5	read	35
89000	5	write	1
106000	5	write	19
109000	5	write	3
180000	5	read	51
183000	5	write	3
228000	5	write	56
271000	5	read	44
329000	5	write	19
357000	5	read	52
363000	5	write	16
401000	5	write	17
415000	5	write	57
419000	5	write	50
436000	5	read	4
437000	5	write	47
446000	5	read	54
453000	5	write	11
524000	5	write	46
10134000	6	admit
6000	6	write	36
12000	6	read	1
26000	6	write	9
55000	6	read	17
84000	6	write	24
135000	6	read	59
152000	6	write	29
162000	6	read	4
166000	6	write	10
168000	6	read	41
198000	6	read	8
201000	6	read	23
10682000	7	admit
8000	7	write	21
49000	7	write	56
59000	7	read	7
88000	7	read	18
124000	7	write	0
128000	7	read	37
10819000	8	admit
151000	7	read	53
158000	7	read	21
192000	7	write	41
195000	7	read	52
199000	7	write	21
226000	7	write	12
253000	7	read	22
266000	7	write	49
278000	7	write	34
152000	8	read	4
3651000	3	exit
11226000	9	admit
45000	9	read	0
50000	9	write	39
61000	9	write	5
70000	9	write	15
101000	9	write	25
102000	9	read	30
111000	9	write	8
2206000	5	exit
211000	9	read	21
242000	9	read	25
260000	9	write	37
278000	9	write	6
284000	9	read	35
341000	9	write	6
367000	9	read	49
385000	9	read	29
