disksectors	60
timequantum	10000
diskrpm		7200
5094000	0	admit
24000	0	write	54
25000	0	read	56
27000	0	write	3
44000	0	write	50
5189000	1	admit
96000	0	read	13
102000	0	read	6
105000	0	read	23
124000	0	write	58
167000	0	read	3
169000	0	read	32
174000	0	write	7
201000	0	read	54
204000	0	write	8
227000	0	exit
138000	1	read	44
154000	1	read	31
206000	1	read	41
213000	1	read	25
230000	1	write	43
246000	1	read	10
284000	1	read	48
290000	1	write	54
332000	1	read	41
336000	1	read	55
351000	1	read	44
380000	1	read	27
404000	1	read	4
467000	1	read	22
469000	1	read	30
486000	1	write	7
508000	1	read	15
587000	1	exit
6403000	2	admit
19000	2	write	39
47000	2	write	51
55000	2	write	20
111000	2	write	33
196000	2	read	29
230000	2	read	16
266000	2	write	43
267000	2	write	25
285000	2	write	59
307000	2	write	45
331000	2	read	5
342000	2	read	58
386000	2	write	34
894000	2	exit
9897000	3	admit
11000	3	read	50
62000	3	read	47
63000	3	write	10
102000	3	read	2
107000	3	read	44
108000	3	write	42
113000	3	read	10
125000	3	read	27
134000	3	read	31
148000	3	write	44
154000	3	read	58
10190000	4	admit
17000	4	write	32
19000	4	read	8
74000	4	read	30
80000	4	read	45
129000	4	write	55
163000	4	read	50
168000	4	read	58
182000	4	read	40
203000	4	write	8
227000	4	read	18
273000	4	write	59
294000	4	write	7
1410000	3	exit
1600000	4	exit
13523000	5	admit
38000	5	write	38
39000	5	read	48
40000	5	write	40
50000	5	write	12
66000	5	write	1
83000	5	write	31
91000	5	write	40
186000	5	read	26
221000	5	read	35
241000	5	read	12
262000	5	write	42
287000	5	write	42
290000	5	read	13
316000	5	read	6
318000	5	read	59
355000	5	write	4
367000	5	read	33
379000	5	read	58
409000	5	write	54
414000	5	read	47
418000	5	write	24
426000	5	write	54
441000	5	write	15
443000	5	read	49
478000	5	read	28
498000	5	write	55
536000	5	read	3
597000	5	read	36
14226000	6	admit
38000	6	write	2
14269000	7	admit
6000	7	write	9
65000	6	write	34
81000	6	read	0
105000	6	read	39
161000	6	read	44
167000	6	read	27
171000	6	read	34
194000	6	read	43
212000	6	write	34
232000	6	read	11
258000	6	write	3
289000	6	read	9
337000	6	read	48
327000	7	read	55
376000	6	read	10
403000	6	read	21
405000	6	read	21
1167000	5	exit
482000	6	write	8
442000	7	write	27
486000	7	write	15
557000	7	write	24
565000	7	write	14
608000	7	write	6
645000	7	read	45
665000	7	read	59
696000	7	read	57
719000	7	write	24
726000	7	read	18
804000	7	read	34
805000	7	write	49
836000	7	read	11
856000	7	read	34
899000	7	write	19
902000	7	write	13
912000	7	read	16
957000	7	write	37
971000	7	read	57
1013000	7	read	42
1038000	7	write	6
1047000	7	read	39
1079000	7	read	26
1116000	7	read	29
1134000	7	read	42
1306000	6	exit
1978000	7	exit
17566000	8	admit
19000	8	write	21
42000	8	read	3
69000	8	read	26
72000	8	read	37
135000	8	read	32
145000	8	write	29
18225000	9	admit
2000	9	write	8
13000	9	read	54
15000	9	write	41
27000	9	read	54
39000	9	read	54
87000	9	read	36
89000	9	read	34
99000	9	write	15
18344000	10	admit
132000	9	write	0
193000	9	read	46
227000	9	write	0
232000	9	read	47
258000	9	write	0
18505000	11	admit
281000	9	write	51
282000	9	write	10
307000	9	read	34
