timequantum	18000
disksectors	24
diskrpm		4200
310000	0	admit
313000	1	admit
15000	0	read	12
21000	0	read	14
55000	0	read	9
115000	0	read	14
159000	0	write	13
174000	0	read	10
184000	0	write	21
192000	0	write	1
194000	1	write	15
214000	1	read	1
238000	1	write	6
264000	1	read	0
909000	2	admit
2000	2	read	17
11000	2	write	22
13000	2	read	6
37000	2	write	15
42000	2	read	10
70000	2	read	15
76000	2	read	23
90000	2	write	11
100000	2	read	13
115000	2	write	4
120000	2	read	7
131000	2	read	14
138000	2	read	22
162000	2	write	9
168000	2	read	9
188000	2	read	1
200000	2	write	22
223000	2	read	2
236000	2	read	22
264000	2	read	3
267000	2	write	16
268000	2	write	17
294000	2	read	8
295000	2	read	8
300000	2	write	10
317000	2	write	11
1694000	0	exit
1866000	1	exit
2814000	3	admit
19000	3	read	20
59000	3	write	5
72000	3	write	14
73000	3	write	23
113000	3	write	1
135000	3	write	18
136000	3	read	15
258000	3	write	23
3142000	4	admit
6000	4	write	14
13000	4	read	19
15000	4	write	22
21000	4	write	8
24000	4	read	21
33000	4	write	6
51000	4	read	16
63000	4	read	13
80000	4	read	22
3244000	5	admit
106000	4	read	7
127000	4	read	23
157000	4	read	8
175000	4	write	12
185000	4	write	21
191000	4	read	14
194000	4	read	1
197000	4	read	15
199000	4	write	15
247000	4	write	6
255000	4	read	4
288000	4	write	13
207000	5	read	19
210000	5	read	15
217000	5	read	0
5162000	6	admit
16000	6	read	3
95000	6	write	12
121000	6	read	11
162000	6	write	8
176000	6	read	22
193000	6	read	12
195000	6	write	1
247000	6	write	23
277000	6	read	22
279000	6	read	20
311000	6	read	6
5513000	7	admit
29000	7	write	5
55000	7	read	21
68000	7	write	6
70000	7	write	16
74000	7	read	6
76000	7	read	6
97000	7	read	15
120000	7	read	13
128000	7	write	21
151000	7	write	10
208000	7	read	19
211000	7	read	4
222000	7	read	18
223000	7	write	5
253000	7	read	5
262000	7	write	5
275000	7	read	7
6203000	2	exit
2588000	7	exit
8768000	8	admit
4000	8	read	5
11000	8	write	14
32000	8	read	3
99000	8	write	15
116000	8	read	14
120000	8	write	9
125000	8	write	4
150000	8	write	20
163000	8	write	5
164000	8	read	5
179000	8	read	19
227000	8	write	20
233000	8	read	23
253000	8	read	11
280000	8	write	21
302000	8	read	5
320000	8	read	1
327000	8	write	5
341000	8	read	19
343000	8	write	15
379000	8	write	4
386000	8	read	6
407000	8	write	3
429000	8	write	18
527000	8	write	16
528000	8	read	10
9707000	9	admit
11000	9	read	0
64000	9	write	11
125000	9	read	18
143000	9	write	17
161000	9	write	20
179000	9	write	2
275000	9	read	20
284000	9	write	0
290000	9	write	5
295000	9	write	23
309000	9	write	6
323000	9	write	5
332000	9	write	3
348000	9	read	9
406000	9	read	5
2798000	8	exit
8841000	3	exit
